id,tour,gender,type,stage,title,start,end,city,state_country,signupUrl,
cpt-t1-2026-03-25-ghala,Clutch Pro Tour,Men,Tier 1,International,GHALA,2026-03-25,2026-03-27,Muscat,Oman,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-03-30-al-mouj-golf,Clutch Pro Tour,Men,Tier 1,International,AL MOUJ GOLF,2026-03-30,2026-04-01,Muscat,Oman,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-04-14-education-city,Clutch Pro Tour,Men,Tier 1,International,EDUCATION CITY,2026-04-14,2026-04-16,Doha,Qatar,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-04-20-royal-golf-club,Clutch Pro Tour,Men,Tier 1,International,ROYAL GOLF CLUB,2026-04-20,2026-04-22,Manama,Bahrain,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-04-28-al-hamra,Clutch Pro Tour,Men,Tier 1,International,AL HAMRA,2026-04-28,2026-04-30,Ras Al-Khaimah,UAE,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-05-13-forest-hills,Clutch Pro Tour,Men,Tier 1,International,FOREST HILLS,2026-05-13,2026-05-15,Gloucestershire,England UK,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-05-28-st-mellion-nicklaus,Clutch Pro Tour,Men,Tier 1,International,ST. MELLION (NICKLAUS COURSE),2026-05-28,2026-05-30,Saltash Cornwall,England UK,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-06-03-gloria-golf-resort,Clutch Pro Tour,Men,Tier 1,International,GLORIA GOLF RESORT,2026-06-03,2026-06-05,Antalya,Turkey,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-06-10-bishops-stortford,Clutch Pro Tour,Men,Tier 1,International,BISHOP'S STORTFORD,2026-06-10,2026-06-12,Hertfordshire,England UK,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-06-16-moseley,Clutch Pro Tour,Men,Tier 1,International,MOSELEY,2026-06-16,2026-06-18,Birmingham,England UK,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-07-07-the-hertfordshire,Clutch Pro Tour,Men,Tier 1,International,THE HERTFORDSHIRE,2026-07-07,2026-07-09,Ware Hertfordshire,England UK,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
cpt-t1-2026-07-15-abridge,Clutch Pro Tour,Men,Tier 1,International,ABRIDGE,2026-07-15,2026-07-17,Epping Essex,England UK,https://clutch-registration.golfgenius.com/pages/12196376456925812109,
