id,tour,gender,type,stage,title,start,end,city,state_country,tourUrl,mondayUrl,MondayDate,oqDate,oqNonMemberDeadline,oqMemberDeadline,oqCourses
ajga-2026-05-21-team-taylormade-invitational,AJGA,Mixed,Junior,Invitational,Team TaylorMade Invitational,2026-05-21,2026-05-24,Belleair,FL,https://www.ajga.org/tournaments/2026041,,,,,,Pelican Golf Club
ajga-2026-05-22-ajga-dominican-junior-open-presented-by-puntacana-resort-club,AJGA,Mixed,Junior,Open,AJGA Dominican Junior Open presented by Puntacana Resort & Club,2026-05-22,2026-05-25,"Punta Cana, Dominican Republic",,https://www.ajga.org/tournaments/2026003,,,,,,Corales Golf Club designed by Tom Fazio
ajga-2026-05-22-visit-williamsburg-junior-championship,AJGA,Mixed,Junior,Open,Visit Williamsburg Junior Championship,2026-05-22,2026-05-25,Williamsburg,VA,https://www.ajga.org/tournaments/2026042,,,,,,Ford's Colony Country Club - Marsh Hawk Course
ajga-2026-05-22-kenton-county-preview-presented-by-northern-kentucky-cvb,AJGA,Mixed,Junior,Preview,Kenton County Preview presented by Northern Kentucky CVB,2026-05-22,2026-05-25,Independence,KY,https://www.ajga.org/tournaments/2026046,,,,,,The Golf Courses of Kenton County - Willows Course
ajga-2026-05-23-the-nelly-invitational-presented-by-chevron,AJGA,Mixed,Junior,Invitational,The Nelly Invitational presented by Chevron,2026-05-23,2026-05-26,Bradenton,FL,https://www.ajga.org/tournaments/2026040,,,,,,The Concession Golf Club
ajga-2026-05-25-punta-gorda-englewood-beach-preview-presented-by-icl-academy-ages-12-15,AJGA,Mixed,Junior,Preview,Punta Gorda / Englewood Beach Preview presented by ICL Academy (Ages 12-15),2026-05-25,2026-05-28,Lake Suzy,FL,https://www.ajga.org/tournaments/2026044,,,,,,Aileron Golf Club
ajga-2026-05-26-ajga-junior-presented-by-decatur-morgan-county-tourism,AJGA,Mixed,Junior,Open,AJGA Junior presented by Decatur Morgan County Tourism,2026-05-26,2026-05-29,Decatur,AL,https://www.ajga.org/tournaments/2026043,,,,,,Burningtree Country Club
ajga-2026-05-26-ochsner-health-ajga-new-orleans-classic,AJGA,Mixed,Junior,Open,Ochsner Health / AJGA New Orleans Classic,2026-05-26,2026-05-29,New Orleans,LA,https://www.ajga.org/tournaments/2026045,,,,,,Bayou Oaks at City Park - South Course
ajga-2026-05-26-ajga-thunderbird-heather-farr-classic,AJGA,Mixed,Junior,Open,AJGA Thunderbird Heather Farr Classic,2026-05-26,2026-05-29,Phoenix,AZ,https://www.ajga.org/tournaments/2026047,,,,,,Papago Golf Club
ajga-2026-06-01-ajga-junior-all-star-presented-by-explore-clay,AJGA,Mixed,Junior,Junior All-Star,AJGA Junior All-Star presented by Explore Clay,2026-06-01,2026-06-04,Fleming Island,FL,https://www.ajga.org/tournaments/2026048,,,,,,Eagle Harbor Golf Club
ajga-2026-06-01-ajga-junior-championship-presented-by-visit-tallahassee,AJGA,Mixed,Junior,Open,AJGA Junior Championship presented by Visit Tallahassee,2026-06-01,2026-06-04,Tallahassee,FL,https://www.ajga.org/tournaments/2026049,,,,,,Seminole Legacy Golf Club
ajga-2026-06-01-the-lanto-junior-championship,AJGA,Mixed,Junior,Open,The Lanto Junior Championship,2026-06-01,2026-06-04,Blacksburg,VA,https://www.ajga.org/tournaments/2026050,,,,,,Blacksburg Country Club
ajga-2026-06-01-ajga-huntsville-junior,AJGA,Mixed,Junior,Open,AJGA Huntsville Junior,2026-06-01,2026-06-04,Huntsville,AL,https://www.ajga.org/tournaments/2026051,,,,,,Valley Hill Country Club - Hill & Valley
ajga-2026-06-01-the-wyndham-clark-presented-by-the-colorado-golf-association,AJGA,Mixed,Junior,Open,The Wyndham Clark presented by the Colorado Golf Association,2026-06-01,2026-06-04,Westminster,CO,https://www.ajga.org/tournaments/2026052,,,,,,Walnut Creek Golf Preserve
ajga-2026-06-01-ajga-junior-at-cypress-bend-presented-by-sabine-river-authority,AJGA,Mixed,Junior,Open,AJGA Junior at Cypress Bend presented by Sabine River Authority,2026-06-01,2026-06-04,Many,LA,https://www.ajga.org/tournaments/2026053,,,,,,Cypress Bend Resort
ajga-2026-06-01-jim-click-automotive-hsl-properties-championship-presented-by-the-tucson-conquis,AJGA,Mixed,Junior,Open,Jim Click Automotive / HSL Properties Championship presented by the Tucson Conquistadores,2026-06-01,2026-06-04,Tucson,AZ,https://www.ajga.org/tournaments/2026054,,,,,,Tucson Country Club
ajga-2026-06-08-wyndham-invitational-presented-by-odyssey,AJGA,Mixed,Junior,Invitational,Wyndham Invitational presented by Odyssey,2026-06-08,2026-06-11,Greensboro,NC,https://www.ajga.org/tournaments/2026055,,,,,,Sedgefield Country Club - Donald Ross Course
ajga-2026-06-08-ajga-junior-at-sandridge,AJGA,Mixed,Junior,Open,AJGA Junior at Sandridge,2026-06-08,2026-06-11,Vero Beach,FL,https://www.ajga.org/tournaments/2026056,,,,,,Sandridge Golf Club - Dunes Course
ajga-2026-06-08-torque-gc-championship,AJGA,Mixed,Junior,Open,Torque GC Championship,2026-06-08,2026-06-11,Santa Rosa Beach,FL,https://www.ajga.org/tournaments/2026057,,,,,,Santa Rosa Golf & Beach Club
ajga-2026-06-08-ajga-rayburn-junior-championship,AJGA,Mixed,Junior,Open,AJGA Rayburn Junior Championship,2026-06-08,2026-06-11,Brookeland,TX,https://www.ajga.org/tournaments/2026058,,,,,,Rayburn Resort and Marina
