id,tour,gender,type,stage,title,start,end,city,state_country,tourUrl,signupUrl,mondayUrl,mondayDate
gpro-tour-heritage-open-tbd,GPro Tour,,Event,,HERITAGE OPEN,,,"HERITAGE OPENHeritage Oaks GC · Brunswick, GAHeritage Oaks GCBrunswick",GA,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour252/index.htm,https://gprotour.bluegolf.com/util/gosecure.htm?secure=%2Fsecure%2Fgprotour25%2Fevent%2Fstart%3Frrui%3DY%26h%3Dgprotour252%26return%3Dhttps%253A%252F%252Fgprotour.bluegolf.com%252Fbluegolf%252Fgprotour%252Fschedule%252Fupcoming.htm,,
gpro-tour-sanctuary-monday-pro-am-tbd,GPro Tour,,Event,,SANCTUARY MONDAY PRO-AM,,,,,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour2516/index.htm,https://gprotour.bluegolf.com/util/gosecure.htm?secure=%2Fsecure%2Fgprotour25%2Fevent%2Fstart%3Frrui%3DY%26h%3Dgprotour2516%26return%3Dhttps%253A%252F%252Fgprotour.bluegolf.com%252Fbluegolf%252Fgprotour%252Fschedule%252Fupcoming.htm,,
gpro-tour-sanctuary-championship-tbd,GPro Tour,,Event,,SANCTUARY CHAMPIONSHIP,,,"SANCTUARY CHAMPIONSHIPSanctuary Golf Club · Waverly, GASanctuary Golf ClubWaverly",GA,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour253/index.htm,https://gprotour.bluegolf.com/util/gosecure.htm?secure=%2Fsecure%2Fgprotour25%2Fevent%2Fstart%3Frrui%3DY%26h%3Dgprotour253%26return%3Dhttps%253A%252F%252Fgprotour.bluegolf.com%252Fbluegolf%252Fgprotour%252Fschedule%252Fupcoming.htm,,
gpro-tour-lexington-open-tbd,GPro Tour,,Event,,LEXINGTON OPEN,,,"LEXINGTON OPENCC of Lexington · Lexington, SCCC of LexingtonLexington",SC,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour2519/index.htm,https://gprotour.bluegolf.com/util/gosecure.htm?secure=%2Fsecure%2Fgprotour25%2Fevent%2Fstart%3Frrui%3DY%26h%3Dgprotour2519%26return%3Dhttps%253A%252F%252Fgprotour.bluegolf.com%252Fbluegolf%252Fgprotour%252Fschedule%252Fupcoming.htm,,
gpro-tour-ap-champ-tuesday-pro-am-2026-05-05,GPro Tour,,Event,,AP CHAMP TUESDAY PRO-AM,2026-05-05,,"AP CHAMP TUESDAY PRO-AMAlbemarle Plantation · Hertford, NCAlbemarle PlantationHertford",NC,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour2517/index.htm,,,
gpro-tour-albemarle-championship-2026-05-07,GPro Tour,,Event,,ALBEMARLE CHAMPIONSHIP,2026-05-07,2026-05-09,"ALBEMARLE CHAMPIONSHIPAlbemarle Plantation · Hertford, NCAlbemarle PlantationHertford",NC,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour254/index.htm,,,
gpro-tour-kannapolis-open-2026-05-27,GPro Tour,,Event,,KANNAPOLIS OPEN,2026-05-27,2026-05-29,"KANNAPOLIS OPENThe Club at Irish Creek · Kannapolis, NCThe Club at Irish CreekKannapolis",NC,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour255/index.htm,,,
gpro-tour-colonial-classic-tbd,GPro Tour,,Event,,COLONIAL CLASSIC,,,"COLONIAL CLASSICColonial CC · Thomasville, NCColonial CCThomasville",NC,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour256/index.htm,,,
gpro-tour-woodlake-open-tbd,GPro Tour,,Event,,WOODLAKE OPEN,,,"WOODLAKE OPENWoodlake CC · Vass, NCWoodlake CCVass",NC,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour257/index.htm,,,
gpro-tour-the-river-championship-tbd,GPro Tour,,Event,,THE RIVER CHAMPIONSHIP,,,"THE RIVER CHAMPIONSHIPPete Dye River Course · Radford, VAPete Dye River Course Radford",VA,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour258/index.htm,,,
gpro-tour-greenville-open-tbd,GPro Tour,,Event,,GREENVILLE OPEN,,,"GREENVILLE OPENBrook Valley CC · Greenville, NCBrook Valley CCGreenville",NC,https://gprotour.bluegolf.com/bluegolf/gprotour25/event/gprotour259/index.htm,,,
